VIN,Make,Model,Vehicle_Category,Vehicle_Sub_Category,Market_Segment,Sale_Price,Sale_Price_Segment,Customer_Name,Customer_Email,Dealer_Name,Unknown_Dealer_name,Clean_Dealer_Name,Dealer_Region,Fuel_Type,Engine_Size,Unkown_Engine_Size ,Color,Unkown_Color,Mileage,Model_Year,Sales_Date_A,Sales_Date_Month,Quarter,
WBA8E9G68HNU12353,BMW,M3,Sedan,Full-Size Car,Luxury/Performance,"$69,900.00",$60K-$89.9K,Autumn Lee,a.lee@gmail.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,White,White,6000,2023,202412,Dec,Q4,
WBA8E9G63HNU12351,BMW,7 Series,Sedan,Full-Size Car,Luxury/Performance,"$89,900.00",$60K-$89.9K,Keith Wilson,k.wilson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Gray,Gray,26000,2020,202407,Jul,Q3,
1C4RJFBG8KC123462,Jeep,Commander,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Matthew Martin,m.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,3.7L,3.7L,Silver,Silver,45000,2016,202408,Aug,Q3,
1N4AL3AP3JC123473,Nissan,GT-R,Coupe,Other,Standard,"$115,900.00",$90K-$129.9K,Easton Taylor,e.taylor@gmail.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.8L,3.8L,Black,Black,2500,2024,202412,Dec,Q4,
1N4AL3AP3JC123474,Nissan,GT-R,Coupe,Other,Standard,"$115,900.00",$90K-$129.9K,Easton Taylor,e.taylor@gmail.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,3.8L,3.8L,Black,Black,2500,2024,202412,Dec,Q4,
1C4RJFBG1KC123466,Jeep,Avenger,SUV,Compact SUV,Standard,"$27,900.00",$25K-$39.9K,Tyler Martin,t.martin@gmail.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,1.3L,1.3L,Silver,Silver,13000,2023,202410,Oct,Q4,
3N1AB7AP9HY123453,Nissan,Altima,Sedan,Full-Size Car,Standard,"$26,800.00",$25K-$39.9K,Mike Davis,m.davis@yahoo.com,,Unknown,Unknown,Northeast,Gasoline,2.5L,2.5L,Silver,Silver,22000,2020,202402,Feb,Q1,
1FTEW1E59JKF12353,Ford,EcoSport,SUV,Compact SUV,Standard,"$22,900.00","Under $25,000",Megan Moore,m.moore2@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,1.0L,1.0L,White,White,19000,2021,202409,Sep,Q3,
1N4AL3AP4JC123464,Nissan,Armada,SUV,Compact SUV,Standard,"$51,200.00",$40K-$59.9K,Terry Thomas,t.thomas@email.com,Nissan Direct,Nissan Direct,Nissan Direct,South,Gasoline,5.6L,5.6L,Blue,Blue,30000,2020,202407,Jul,Q3,
1C4RJFBG3KC123455,Jeep,Grand Cherokee,SUV,Compact SUV,Standard,"$41,200.00",$40K-$59.9K,Elizabeth White,e.white@email.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Black,Black,29000,2020,202403,Mar,Q1,
WBA8E9G59HNU12346,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joseph Thompson,j.thompson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Gray,Gray,32000,2020,202404,Apr,Q2,
5YJSA1E27JF123457,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Nancy Garcia,n.garcia@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,White,White,12000,2023,202404,Apr,Q2,
4T1BF1FK9EU123457,Toyota,Prius,Sedan,Full-Size Car,Standard,"$29,500.00",$25K-$39.9K,Linda Wilson,l.wilson@email.com,toyota center,toyota center,Toyota Center,West,Hybrid,1.8L,1.8L,Blue,Blue,9000,2023,202404,Apr,Q2,
1G1ZB5ST9JF123457,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Helen Jackson,h.jackson@gmail.com,chevy world,chevy world,Chevy World,Midwest,Gasoline,1.5L,1.5L,White,White,20000,2022,202404,Apr,Q2,
WBA8E9G60HNU12347,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Edward White,e.white@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,28000,2020,202405,May,Q2,
4T1BF1FK0EU123458,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$35,800.00",$25K-$39.9K,Ruth Thompson,r.thompson@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.5L,2.5L,Silver,Silver,11000,2023,202405,May,Q2,
1N4AL3AP0JC123458,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joe Garcia,j.garcia@email.com,nissan direct,nissan direct,Nissan Direct,South,Gasoline,2.5L,2.5L,Blue,Blue,24000,2021,202405,May,Q2,
WBA8E9G61HNU12348,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Gloria Anderson,g.anderson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Silver,Silver,21000,2021,202405,May,Q2,
4T1BF1FK1EU123459,Toyota,Highlander,SUV,Compact SUV,Standard,"$44,800.00",$40K-$59.9K,Ralph White,r.white@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,3.5L,3.5L,Gray,Gray,18000,2022,202406,Jun,Q2,
1C4RJFBG6KC123459,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Kathryn Thompson,k.thompson@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,2.4L,2.4L,Silver,Silver,20000,2021,202406,Jun,Q2,
WBA8E9G62HNU12349,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Harold Wilson,h.wilson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,15000,2022,202406,Jun,Q2,
4T1BF1FK2EU123460,Toyota,Tacoma,Truck,Pickup Truck,Standard,"$33,500.00",$25K-$39.9K,Roy Taylor,r.taylor@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.7L,2.7L,Gray,Gray,21000,2020,202406,Jun,Q2,
5YJSA1E30JF123462,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Eugene White,e.white2@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Silver,Silver,1000,2024,202406,Jun,Q2,
1HGCV1F37JA123457,Honda,Accord,Sedan,Full-Size Car,Standard,"$29,800.00",$25K-$39.9K,Kenneth Lee,k.lee@gmail.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Black,Black,22000,2021,202404,Apr,Q2,
5YJSA1E28JF123458,Tesla,Model Y,SUV,Compact SUV,Luxury/Performance,"$10,435.00",$40K-$59.9K,Donna Harris,d.harris@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Gray,Gray,6000,2024,202405,May,Q2,
WBA8E9G59HNU12341,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joseph Thompson,j.thompson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Gray,Gray,32000,2020,202404,Apr,Q2,
5YJSA1E27JF123451,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Nancy Garcia,n.garcia@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,White,White,12000,2023,202404,Apr,Q2,
4T1BF1FK9EU123451,Toyota,Prius,Sedan,Full-Size Car,Standard,"$29,500.00",$25K-$39.9K,Linda Wilson,l.wilson@email.com,toyota center,toyota center,Toyota Center,West,Hybrid,1.8L,1.8L,Blue,Blue,9000,2023,202404,Apr,Q2,
1G1ZB5ST9JF123451,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Helen Jackson,h.jackson@gmail.com,chevy world,chevy world,Chevy World,Midwest,Gasoline,1.5L,1.5L,White,White,20000,2022,202404,Apr,Q2,
WBA8E9G60HNU12341,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Edward White,e.white@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,28000,2020,202405,May,Q2,
4T1BF1FK0EU123451,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$35,800.00",$25K-$39.9K,Ruth Thompson,r.thompson@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.5L,2.5L,Silver,Silver,11000,2023,202405,May,Q2,
1N4AL3AP0JC123451,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joe Garcia,j.garcia@email.com,nissan direct,nissan direct,Nissan Direct,South,Gasoline,2.5L,2.5L,Blue,Blue,24000,2021,202405,May,Q2,
WBA8E9G61HNU12341,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Gloria Anderson,g.anderson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Silver,Silver,21000,2021,202405,May,Q2,
4T1BF1FK1EU123451,Toyota,Highlander,SUV,Compact SUV,Standard,"$44,800.00",$40K-$59.9K,Ralph White,r.white@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,3.5L,3.5L,Gray,Gray,18000,2022,202406,Jun,Q2,
1C4RJFBG6KC123451,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Kathryn Thompson,k.thompson@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,2.4L,2.4L,Silver,Silver,20000,2021,202406,Jun,Q2,
WBA8E9G62HNU12341,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Harold Wilson,h.wilson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,15000,2022,202406,Jun,Q2,
4T1BF1FK2EU123461,Toyota,Tacoma,Truck,Pickup Truck,Standard,"$33,500.00",$25K-$39.9K,Roy Taylor,r.taylor@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.7L,2.7L,Gray,Gray,21000,2020,202406,Jun,Q2,
5YJSA1E30JF123461,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Eugene White,e.white2@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Silver,Silver,1000,2024,202406,Jun,Q2,
1HGCV1F37JA123451,Honda,Accord,Sedan,Full-Size Car,Standard,"$29,800.00",$25K-$39.9K,Kenneth Lee,k.lee@gmail.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Black,Black,22000,2021,202404,Apr,Q2,
5YJSA1E28JF123451,Tesla,Model Y,SUV,Compact SUV,Luxury/Performance,"$10,435.00",$40K-$59.9K,Donna Harris,d.harris@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Gray,Gray,6000,2024,202405,May,Q2,
WBA8E9G59HNU12342,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joseph Thompson,j.thompson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,3.0L,3.0L,Gray,Gray,32000,2020,202404,Apr,Q2,
5YJSA1E27JF123452,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Nancy Garcia,n.garcia@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,White,White,12000,2023,202404,Apr,Q2,
4T1BF1FK9EU123452,Toyota,Prius,Sedan,Full-Size Car,Standard,"$29,500.00",$25K-$39.9K,Linda Wilson,l.wilson@email.com,toyota center,toyota center,Toyota Center,West,Hybrid,1.8L,1.8L,Blue,Blue,9000,2023,202404,Apr,Q2,
1G1ZB5ST9JF123452,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Helen Jackson,h.jackson@gmail.com,chevy world,chevy world,Chevy World,Midwest,Gasoline,1.5L,1.5L,White,White,20000,2022,202404,Apr,Q2,
WBA8E9G60HNU12342,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Edward White,e.white@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,28000,2020,202405,May,Q2,
4T1BF1FK0EU123452,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$35,800.00",$25K-$39.9K,Ruth Thompson,r.thompson@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.5L,2.5L,Silver,Silver,11000,2023,202405,May,Q2,
1N4AL3AP0JC123452,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Joe Garcia,j.garcia@email.com,nissan direct,nissan direct,Nissan Direct,South,Gasoline,2.5L,2.5L,Blue,Blue,24000,2021,202405,May,Q2,
WBA8E9G61HNU12342,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Gloria Anderson,g.anderson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Silver,Silver,21000,2021,202405,May,Q2,
4T1BF1FK1EU123452,Toyota,Highlander,SUV,Compact SUV,Standard,"$44,800.00",$40K-$59.9K,Ralph White,r.white@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,3.5L,3.5L,Gray,Gray,18000,2022,202406,Jun,Q2,
1C4RJFBG6KC123452,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Kathryn Thompson,k.thompson@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,2.4L,2.4L,Silver,Silver,20000,2021,202406,Jun,Q2,
WBA8E9G62HNU12342,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Harold Wilson,h.wilson@email.com,BMW Elite,BMW Elite,Bmw Elite,Northeast,Gasoline,2.0L,2.0L,Black,Black,15000,2022,202406,Jun,Q2,
4T1BF1FK2EU123462,Toyota,Tacoma,Truck,Pickup Truck,Standard,"$33,500.00",$25K-$39.9K,Roy Taylor,r.taylor@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.7L,2.7L,Gray,Gray,21000,2020,202406,Jun,Q2,
5YJSA1E30JF123463,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Eugene White,e.white2@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Silver,Silver,1000,2024,202406,Jun,Q2,
1HGCV1F37JA123452,Honda,Accord,Sedan,Full-Size Car,Standard,"$29,800.00",$25K-$39.9K,Kenneth Lee,k.lee@gmail.com,Metro Honda,Metro Honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Black,Black,22000,2021,202404,Apr,Q2,
5YJSA1E28JF123452,Tesla,Model Y,SUV,Compact SUV,Luxury/Performance,"$10,436.00",$40K-$59.9K,Donna Harris,d.harris@email.com,Tesla Direct,Tesla Direct,Tesla Direct,West,Electric,,Unknown,Gray,Gray,6000,2024,202405,May,Q2,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Created a helper colmn and used the Nested IF function and ISBLANK to replce missing data with 'Unkown""",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
